id,asset_name,asset_type,distribution_asset,timestamp,survival_probability
241186,l(r:p49udm22107-p49ulv18924),distribution_overhead_lines,9f0a49bd-c42e-4466-b8fd-c2ea4bef612f,1961-09-12T05:00:00,0.9999999953750782
241187,l(r:p49udm22107-p49ulv18924),distribution_overhead_lines,9f0a49bd-c42e-4466-b8fd-c2ea4bef612f,1961-09-12T06:00:00,0.23046003849258567
241188,l(r:p49udm22107-p49ulv18924),distribution_overhead_lines,9f0a49bd-c42e-4466-b8fd-c2ea4bef612f,1961-09-12T07:00:00,0.9174606504205629
241189,l(r:p49udm22107-p49ulv18924),distribution_overhead_lines,9f0a49bd-c42e-4466-b8fd-c2ea4bef612f,1961-09-12T08:00:00,0.7746763379696231
241238,l(r:p49udm22107-p49udt7655lv),distribution_overhead_lines,a08c42c6-74ee-4b14-b885-e0ba407e0fd5,1961-09-12T05:00:00,0.9999999950670686
241239,l(r:p49udm22107-p49udt7655lv),distribution_overhead_lines,a08c42c6-74ee-4b14-b885-e0ba407e0fd5,1961-09-12T06:00:00,0.2301799707303911
241240,l(r:p49udm22107-p49udt7655lv),distribution_overhead_lines,a08c42c6-74ee-4b14-b885-e0ba407e0fd5,1961-09-12T07:00:00,0.9171138129580398
241241,l(r:p49udm22107-p49udt7655lv),distribution_overhead_lines,a08c42c6-74ee-4b14-b885-e0ba407e0fd5,1961-09-12T08:00:00,0.7722318662997036
241290,l(r:p49udm22108-p49ulv26576),distribution_overhead_lines,87617f4d-ce02-481d-8b3b-79b4c595d569,1961-09-12T05:00:00,0.9999999949365743
241291,l(r:p49udm22108-p49ulv26576),distribution_overhead_lines,87617f4d-ce02-481d-8b3b-79b4c595d569,1961-09-12T06:00:00,0.23038233231619631
241292,l(r:p49udm22108-p49ulv26576),distribution_overhead_lines,87617f4d-ce02-481d-8b3b-79b4c595d569,1961-09-12T07:00:00,0.9116663834078171
241293,l(r:p49udm22108-p49ulv26576),distribution_overhead_lines,87617f4d-ce02-481d-8b3b-79b4c595d569,1961-09-12T08:00:00,0.7650415894504451
241342,l(r:p49udm22108-p49udt7655lv),distribution_overhead_lines,f034e068-f967-4db3-89c4-521310d48799,1961-09-12T05:00:00,0.9999999943705707
241343,l(r:p49udm22108-p49udt7655lv),distribution_overhead_lines,f034e068-f967-4db3-89c4-521310d48799,1961-09-12T06:00:00,0.2296436604226686
241344,l(r:p49udm22108-p49udt7655lv),distribution_overhead_lines,f034e068-f967-4db3-89c4-521310d48799,1961-09-12T07:00:00,0.9157043336071654
241345,l(r:p49udm22108-p49udt7655lv),distribution_overhead_lines,f034e068-f967-4db3-89c4-521310d48799,1961-09-12T08:00:00,0.7663578446342063
241394,l(r:p49udt7656lv-p49ulv33931),distribution_overhead_lines,0807850b-ce87-478a-9df7-ea34ad2e0fa2,1961-09-12T05:00:00,0.9999997471245737
241395,l(r:p49udt7656lv-p49ulv33931),distribution_overhead_lines,0807850b-ce87-478a-9df7-ea34ad2e0fa2,1961-09-12T06:00:00,0.19396883479200455
241396,l(r:p49udt7656lv-p49ulv33931),distribution_overhead_lines,0807850b-ce87-478a-9df7-ea34ad2e0fa2,1961-09-12T07:00:00,0.9999990890912952
241397,l(r:p49udt7656lv-p49ulv33931),distribution_overhead_lines,0807850b-ce87-478a-9df7-ea34ad2e0fa2,1961-09-12T08:00:00,0.9211576346910326
241446,l(r:p49udm22110-p49ulv20668),distribution_overhead_lines,09f86219-61eb-4728-854c-f3aebf8b45ea,1961-09-12T05:00:00,0.9999997548573898
241447,l(r:p49udm22110-p49ulv20668),distribution_overhead_lines,09f86219-61eb-4728-854c-f3aebf8b45ea,1961-09-12T06:00:00,0.1940368963149086
241448,l(r:p49udm22110-p49ulv20668),distribution_overhead_lines,09f86219-61eb-4728-854c-f3aebf8b45ea,1961-09-12T07:00:00,0.9999993249351575
241449,l(r:p49udm22110-p49ulv20668),distribution_overhead_lines,09f86219-61eb-4728-854c-f3aebf8b45ea,1961-09-12T08:00:00,0.9239246660593708
241498,l(r:p49udm22113-p49ulv41443),distribution_overhead_lines,1709936b-fcba-405e-88cd-a7d3e271c289,1961-09-12T05:00:00,0.9999997969478734
241499,l(r:p49udm22113-p49ulv41443),distribution_overhead_lines,1709936b-fcba-405e-88cd-a7d3e271c289,1961-09-12T06:00:00,0.1953961347547417
241500,l(r:p49udm22113-p49ulv41443),distribution_overhead_lines,1709936b-fcba-405e-88cd-a7d3e271c289,1961-09-12T07:00:00,0.9999987506913638
241501,l(r:p49udm22113-p49ulv41443),distribution_overhead_lines,1709936b-fcba-405e-88cd-a7d3e271c289,1961-09-12T08:00:00,0.9260413507737468
241550,l(r:p49udm22110-p49udm22113),distribution_overhead_lines,88c0c419-e389-44fb-8aa8-6c1b4736dd26,1961-09-12T05:00:00,0.9999997642609249
241551,l(r:p49udm22110-p49udm22113),distribution_overhead_lines,88c0c419-e389-44fb-8aa8-6c1b4736dd26,1961-09-12T06:00:00,0.19434162396973043
241552,l(r:p49udm22110-p49udm22113),distribution_overhead_lines,88c0c419-e389-44fb-8aa8-6c1b4736dd26,1961-09-12T07:00:00,0.9999991869413358
241553,l(r:p49udm22110-p49udm22113),distribution_overhead_lines,88c0c419-e389-44fb-8aa8-6c1b4736dd26,1961-09-12T08:00:00,0.924053663363441
241602,l(r:p49udm22110-p49udt7656lv),distribution_overhead_lines,5c5fb029-4318-4611-95ac-26809fa3da42,1961-09-12T05:00:00,0.9999997473896765
241603,l(r:p49udm22110-p49udt7656lv),distribution_overhead_lines,5c5fb029-4318-4611-95ac-26809fa3da42,1961-09-12T06:00:00,0.19391474593338642
241604,l(r:p49udm22110-p49udt7656lv),distribution_overhead_lines,5c5fb029-4318-4611-95ac-26809fa3da42,1961-09-12T07:00:00,0.9999992184883628
241605,l(r:p49udm22110-p49udt7656lv),distribution_overhead_lines,5c5fb029-4318-4611-95ac-26809fa3da42,1961-09-12T08:00:00,0.9221171105929199
241654,l(r:p49udm22115-p49ulv48898),distribution_overhead_lines,d1faeb0f-48f8-4ac1-b548-e28fc334f1db,1961-09-12T05:00:00,0.9999997216366922
241655,l(r:p49udm22115-p49ulv48898),distribution_overhead_lines,d1faeb0f-48f8-4ac1-b548-e28fc334f1db,1961-09-12T06:00:00,0.1931001928217746
241656,l(r:p49udm22115-p49ulv48898),distribution_overhead_lines,d1faeb0f-48f8-4ac1-b548-e28fc334f1db,1961-09-12T07:00:00,0.9999995796088114
241657,l(r:p49udm22115-p49ulv48898),distribution_overhead_lines,d1faeb0f-48f8-4ac1-b548-e28fc334f1db,1961-09-12T08:00:00,0.9225973623225165
241706,l(r:p49udm22112-p49ulv35119),distribution_overhead_lines,0bfba857-710d-4556-9f5b-382e7cf98525,1961-09-12T05:00:00,0.9999996940651986
241707,l(r:p49udm22112-p49ulv35119),distribution_overhead_lines,0bfba857-710d-4556-9f5b-382e7cf98525,1961-09-12T06:00:00,0.1925221998608435
241708,l(r:p49udm22112-p49ulv35119),distribution_overhead_lines,0bfba857-710d-4556-9f5b-382e7cf98525,1961-09-12T07:00:00,0.9999995894268857
241709,l(r:p49udm22112-p49ulv35119),distribution_overhead_lines,0bfba857-710d-4556-9f5b-382e7cf98525,1961-09-12T08:00:00,0.9196724213695655
241758,l(r:p49udm22109-p49ulv18925),distribution_overhead_lines,922abd50-a11a-4fb9-992c-2713fbf22fe4,1961-09-12T05:00:00,0.9999996694241784
241759,l(r:p49udm22109-p49ulv18925),distribution_overhead_lines,922abd50-a11a-4fb9-992c-2713fbf22fe4,1961-09-12T06:00:00,0.19194479542924614
241760,l(r:p49udm22109-p49ulv18925),distribution_overhead_lines,922abd50-a11a-4fb9-992c-2713fbf22fe4,1961-09-12T07:00:00,0.9999996966319753
241761,l(r:p49udm22109-p49ulv18925),distribution_overhead_lines,922abd50-a11a-4fb9-992c-2713fbf22fe4,1961-09-12T08:00:00,0.9187952463603613
241810,l(r:p49udm22109-p49ulv43175),distribution_overhead_lines,2ec7633a-cd74-4148-89d1-17827579a7e6,1961-09-12T05:00:00,0.9999996755858751
241811,l(r:p49udm22109-p49ulv43175),distribution_overhead_lines,2ec7633a-cd74-4148-89d1-17827579a7e6,1961-09-12T06:00:00,0.1919656376239255
241812,l(r:p49udm22109-p49ulv43175),distribution_overhead_lines,2ec7633a-cd74-4148-89d1-17827579a7e6,1961-09-12T07:00:00,0.9999997690147092
241813,l(r:p49udm22109-p49ulv43175),distribution_overhead_lines,2ec7633a-cd74-4148-89d1-17827579a7e6,1961-09-12T08:00:00,0.9208775528998046
241862,l(r:p49udm22109-p49udm22112),distribution_overhead_lines,b7f6b3c7-c3b7-4bfd-83db-ca8fd5332996,1961-09-12T05:00:00,0.9999996779584899
241863,l(r:p49udm22109-p49udm22112),distribution_overhead_lines,b7f6b3c7-c3b7-4bfd-83db-ca8fd5332996,1961-09-12T06:00:00,0.19207012817565883
241864,l(r:p49udm22109-p49udm22112),distribution_overhead_lines,b7f6b3c7-c3b7-4bfd-83db-ca8fd5332996,1961-09-12T07:00:00,0.9999997247182533
241865,l(r:p49udm22109-p49udm22112),distribution_overhead_lines,b7f6b3c7-c3b7-4bfd-83db-ca8fd5332996,1961-09-12T08:00:00,0.9201867248089834
241914,l(r:p49udm22112-p49udm22115),distribution_overhead_lines,cb29b19a-de43-4faf-bf38-721a8dfd78e7,1961-09-12T05:00:00,0.9999996989501022
241915,l(r:p49udm22112-p49udm22115),distribution_overhead_lines,cb29b19a-de43-4faf-bf38-721a8dfd78e7,1961-09-12T06:00:00,0.19257356221346766
241916,l(r:p49udm22112-p49udm22115),distribution_overhead_lines,cb29b19a-de43-4faf-bf38-721a8dfd78e7,1961-09-12T07:00:00,0.9999996388462842
